,Date,Tweets
36,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
37,2019-10-20,#Jio slams Trai's IUC review as anti-poor; says move sabotages PM’s Digital India vision https://t.co/wqcPr4w8MU
38,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
39,2019-10-20,RT @namitha29: I want strict action against ward 66 Subramanya nagar #BBMP engineer Mr Mukund who said he will send a team to stop illegal…
40,2019-10-20,"Your Supervisor Name is DEEP RAJPUT
Time: 12:20 Pm
I want proper solution in your side 
@JioCare #jio #CustomerService #MukeshAmbani #jiostore"
41,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
42,2019-10-20,I want strict action against ward 66 Subramanya nagar #BBMP engineer Mr Mukund who said he will send a team to stop illegal digging by #JIO but missing in action! Suspension for corrupt officials. @BBMPCOMM @BBMP_MAYOR @drashwathcn @Bengaluru2050
43,2019-10-20,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
44,2019-10-20,"When airtel girl told you always "" Airtel is best. "" but you go instead for Jio.

Airtel girl now :
#frustrated_aadmi #Airtel #jio https://t.co/8xz9CoduHR"
45,2019-10-20,"Can Mukesh Ambani pay Rs 2.88 lakh crore RIL debt or In way of Anil Ambnai ? 

#Jio to other is not free now. 

In Q2FY20, revenue for the oil and gas segment slipped by 40.2 per cent YoY."
46,2019-10-20,"We have informed #BBMP local engineer Mr Mukund on the illegal digging by #Jio , he said he will send a squad. Yet to see action. If no action comes it will be very CLEAR who has illegally given permission to dig again. 

@drashwathcn @BBMPCOMM @BBMP_MAYOR"
47,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
48,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
49,2019-10-20,@JioCare Day 10: Still “NO SERVICE” on my #JIO. #TRAI
50,2019-10-20,"What really??😮
I'm just tired of these type of messages...Stop this nonsense
#Airtel #jio #cococola https://t.co/K5FArqVceb"
51,2019-10-20,"#Jio, #jiophone 
So frustrating you guys jio network.
Network is not at all reliable. In one location suddenly it comes and goes for fee minutes. I am trying jio care...either nobody responds."
52,2019-10-20,"Thank you @reliancejio 

This was the offer in 2013. And they mentioned on the box of @SamsungMobile Galaxy core.

#Thankyoujio #Jio https://t.co/IBmWSixj3n"
53,2019-10-20,#jio not to mention my co-workers disturbing me even in my break day. like- heck? i only take a break once in a blue moon and that's for the sake of my thesis orz
54,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
55,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
56,2019-10-20,#jio being a college student and working at the same time is not as easy as i imagined before 😭
57,2019-10-20,"RT @bookstarve: Go back to letter writting &amp;postcard system ,or move to #BSNL that's the only way to communicate in a cheap rate or go with…"
58,2019-10-20,"This is my observation, after #Jio announced 6 paise call charge to other network, now #AirTel 4G reduced its internet speed? unsure whether it is due to a surge of people porting to airtel."
59,2019-10-20,My Internet speed #JIO is 330Kbps. How FAST is your Internet? https://t.co/EoyYoIIg3o
60,2019-10-20,@Idea @VodafoneIN Major connectivity problem. Unable to call or receive calls 90% of the times. Need to restart mobile but not a sure shot solution. #pune. Just recharged my backup #jio number.
61,2019-10-20,#BSNL must watch clip #Telecom #Jio #Vodafone #Airtel https://t.co/GWTqXXEXHp
62,2019-10-20,##jio live chat bana kar rakh hai &amp;198 customer care ##
63,2019-10-20,Good news : Now there is so need to pay 6 rupees per minuite #jio #reliance #airtel #vodafone https://t.co/nEX000LFWB https://t.co/uvRCIPDZT7
64,2019-10-20,"#bpcldisinvestment #boycottmodia 
Stop killing PSU and supporting pvt company , we have seen what has happened in case of #Jio and #BSNL 
@PMOIndia @FinMinIndia"
65,2019-10-20,"RT @ManghwaniManish: Is it me or anyone else facing the decrease in speed with #jio ? 
Any solution @JioCare  ?"
66,2019-10-20,"@reliancejio check ur internet speed,how wil u give best #JioFiber #Ambani #Reliance #Jio #Screenrecorder https://t.co/adI7uk30tH"
67,2019-10-20,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
68,2019-10-20,@JioCare @IndianBatman007 @bondgirl3590 #jio Bye very poor indoor data and single network and fraud company hai.
69,2019-10-20,"RT @equitybulls: Subsrciber base of RIL's Digital Services Business at 355.2 million as of Sep 30, 2019

#RIL #RelianceJio #Jio #DigitalLif…"
70,2019-10-20,"Subsrciber base of RIL's Digital Services Business at 355.2 million as of Sep 30, 2019

#RIL #RelianceJio #Jio #DigitalLife #DigitalService #Q2 #ResultUpdate @reliancejio 

https://t.co/P23tz1ufxc https://t.co/qT77tdELxA"
71,2019-10-20,"RT @KKSDY: #BSNL is only Company who serve Nation,Never thought profits-loss, Time to turn rejoin #BSNL, &amp; #BoycottJio, Due to #Jio around…"
72,2019-10-20,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
73,2019-10-20,"#Jio has around ~350 million users. Considering each one of them makes a call(not Jio to Jio), Jio would earn around Rs.3.15 Cr. For one call made by each of them. Assuming that 1/3rd of the users make one call daily NOT from Jio to Jio, Jio's #earnings for the month- ~20.88 Cr."
74,2019-10-20,"@JioCare @reliancejio getting trouble with the Jio Phone but not getting any support from your jio store in solving the issue then who will solve the issue..

#RelianceJio #jio"
75,2019-10-20,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
76,2019-10-20,#Jio Network speed is very slow from Last 1 Months
77,2019-10-20,"@reliancejio  enter into Telecom market with promised of life time free calling services, now imposed 6 paise/minute charges for calling and let me tell this is just begining, coming years you will see many such things, once market get totally monopolised by #Jio . @JioCare @TRAI"
78,2019-10-20,"Difference between Vodafone/Airtel and Jio.
Its been 3 month I haven't recharged still getting incoming calls.But yesterday @VodafoneIN package expired and they discontinued my incoming call. So U decided which network is good for you .@reliancejio @VodafoneIN #Jio"
79,2019-10-20,"RT @ians_india: Actor #AdilHussain returns in ""#Raahgir"", which premiered at the recent Busan International Film Festival, and is all set t…"
80,2019-10-20,"RT @ians_india: Actor #AdilHussain returns in ""#Raahgir"", which premiered at the recent Busan International Film Festival, and is all set t…"
81,2019-10-20,"RT @ians_india: Actor #AdilHussain returns in ""#Raahgir"", which premiered at the recent Busan International Film Festival, and is all set t…"
82,2019-10-20,"#Switch_to_BSNL Already switched from #jio to BSNL . We all should always support our national #PSU #BSNL #BoycottJio  @narendramodi  @PMOIndia @AmitShah  @AmitShahOffice  
@nsitharaman"
83,2019-10-20,Worst network #JIO No signal at all
84,2019-10-20,"@JioCare @reliancejio After looking at all ur ads about #IUC .. ""Wasn't it always there?""..has it changed since ur launch? Is it a business plan dat makes users dependable n then start recovering?Isnt it a big U turn from ur always free (though it was nvr)  commitment?#jio @TRAI"
85,2019-10-20,Within half an hour server point is been changed. If every half An hour server station keeps on changing your data connection doesn't work or get connected you should keep on refreshing the system from @JioCare @reliancejio #jio https://t.co/sa0odfRoEx
86,2019-10-20,"RT @nishant4_king: Mini heartattack moment when these two are on stage..
Pata nhi kab kya bol de.😤
#notebandi.
#6paise/min.#jio
#modig #mot…"
87,2019-10-20,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
88,2019-10-20,"RT @its_me_rk: Very prompt service by #101 service of #Ahmedabadfireservice, small fire incident near thaltej at #jio mobile tower and they…"
89,2019-10-19,RT @TestFiber: Checking your internet speed with Fibertest is so easy. Simply open the https://t.co/OFLP2AuWoj from the Chrome browser &amp; St…
90,2019-10-19,"RT @bhaaskarmitra: Jio services have become awfully poor. If this happens within 3 years of operation, wonder how long it will take to beco…"
91,2019-10-19,"The sad part of life is,the songs I love the  most are unavailable for jio callertune,accept the request  for jiotunes  #jiodigitallife #jiousers #jio #callertune"
92,2019-10-19,"@bbkv22  Bro that was lit Don't know wat to say but luved your performance socialnationnow 
.
.
#bhuvanbam #youtuber #bbkivines #singer #lovecountry #jio #jiogarden #socialnation #mumbai #weekends #saturday #peace @… https://t.co/wD4CLvR2If"
93,2019-10-19,"Cab apps i wasnt ble to contct my drivers who came for pickup.
Can ambani ji give me one bloody reason as to why i shud continue with my @JioCare  jio connection?
I will keep portong every three months then....isnt it cool and why we are still after Jio?
#JioOnIUC 
#jiosucks
#jio"
94,2019-10-19,"Very prompt service by #101 service of #Ahmedabadfireservice, small fire incident near thaltej at #jio mobile tower and they turned up. Keep up the good work. @ibijalpatel @CMOGuj @PradipsinhGuj @CollectorAhd 
@ahmedabadmirror"
95,2019-10-19,"Jio and Samsung Showcase 5G and LTE use Cases at IMC 2019 https://t.co/VNQBUe3RSX

#JIO #Samsung #5G #LTE #Cases #IMC2019 https://t.co/YMVWH7k1ml"
96,2019-10-19,@h_bhogesh @koyalkar_77 Keep paying more to them. Check this out and compare with #Jio https://t.co/ySk9uVvYx2
97,2019-10-19,"@singhaniasubh12 @reliancejio @jagograhakjago @reliancejio is calling the shots by blaming @TRAI for #IUC 
bt the fact is IUC charges didnt cme suddenly. It ws vry much there
The claim of #Jio that nly Rs.12 is being charged extra is wrong &amp; fake. In reality its much more than that.

we people are nt dumb here !
#BoycottJio"
98,2019-10-19,"RT @indiatvnews: Explained: Why has Jio decided to charge users 6 paisa/minute on voice calls

#Jio
#RelianceJio #reliance @reliancejio 
ht…"
99,2019-10-19,This is Reliance jio network Speed. Near by Silchar City #MukeshAmbani #jio #jiocare #silchar https://t.co/dZcVJWZ8pu
100,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
101,2019-10-19,"@JioCare &amp; @reliancejio 

#Jio down from till 8.30pm ..

WhatsApp also Not work.. !

#Jio going down"
102,2019-10-19,"#Jio getting call drop continuously on complaint got this resolution from customer care. Please help in same, also been told there is no resolution time we can promise. I recently ported to jio so now even cant switch, thanks #trai for 90 days locking even in such scenarios https://t.co/rEpifabTz3"
103,2019-10-19,@JioCare This the service of @JioCare beware people who getting #jio connection they are No1 frauds that too #1 billionaire too you people can make out how he became billionaire https://t.co/PWJXyYdciT
104,2019-10-19,"I talked this issue regarding with your senior executive Sachit Yadav which is I think a mentally handicapped person .. please don't appoint these types animals who can't talk calmly with their customers @JioCare 

#jio #trai"
105,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
106,2019-10-19,"@Airtel_Presence we know Now Jio Trend is going all Over india,  bt i shifted by porting my mobile No. 9435263448 from #Jio to #AirtelAssam, but @Airtel_Presence  never thought about customer like me. Facing difficulties in browsing from my home. Need Asstnce"
107,2019-10-19,"@TataSky worst #service provider..#charges from customer even if the #problem is with #tatasky.

#really need a #jio movement in the #dth Space."
108,2019-10-19,#jio #jiousers #RelianceJio this is 4g speed of jio 😂🤔.. thanks jio team ..u may be switching to 5g?? https://t.co/8uTrp9GXnc
109,2019-10-19,RT @moneycontrolcom: @reliancejio @flameoftruth @theRohitBansal #RelianceJio reported a 45.4% YoY jump in net profit to Rs 990 crore on a s…
110,2019-10-19,"My Internet speed is 130Kbps. How FAST is your Internet? https://t.co/ccGioarvq0
#JIO 
#Ghatiya"
111,2019-10-19,"Net slow
#Jio"
112,2019-10-19,"@JioCare @reliancejio 
Guys need help with recharge option. No issues with iuc charges but now I'm not able to use my Rs. 150 voucher against recharge of Rs. 299. Kindly help in this matter. 
#iuc #jiooniuc #jio #RelianceJio"
113,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
114,2019-10-19,#jio this ur service in gaya Bihar .. i cant play 240p video on YouTube.. do something https://t.co/L0WFuUfkCa
115,2019-10-19,"@reliancejio @JioCare Now I support those who are boycotting jio. You guys are just cheaters who want lots of money and don't want to improve your services.
#Jio #BoycottJio #PoorInternet"
116,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
117,2019-10-19,"@airtelindia  : Happy New Year
@VodafoneIN : Merry Christmas
@reliancejio : Happy DURGA puja

Jio internet Sucks. #Jio #Jio4g #JioSlowInternet"
118,2019-10-19,"Is it me or anyone else facing the decrease in speed with #jio ? 
Any solution @JioCare  ?"
119,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
120,2019-10-19,"Jio has been avoiding everything to get rid from the customer services 
Calls been disconnected 
If you get this please contact back #jio #worstservice @reliancejio @jio"
121,2019-10-19,"After Jio, I guess Lay's new 'Smile karke dekho' packs are a good sort of business. I mean who doesn't like Emojis!!
#Lays_India #Jio"
122,2019-10-19,"RT @KKSDY: #BSNL is only Company who serve Nation,Never thought profits-loss, Time to turn rejoin #BSNL, &amp; #BoycottJio, Due to #Jio around…"
123,2019-10-19,"*people switch to jio because cheap plans*
*#bsnl lays-off employees because no money*
Leftists and People using #jio: #bjp or #modi ne desh duba rakha hai. 

Kaafi sensible baatein krte hain log aaj kal. https://t.co/Cp0EKjXW8n"
124,2019-10-19,@reliancejio Biggest fault of my life was to try #Jio and it ruined everything in terms of network and internet speed.
125,2019-10-19,"RT @KKSDY: #BSNL is only Company who serve Nation,Never thought profits-loss, Time to turn rejoin #BSNL, &amp; #BoycottJio, Due to #Jio around…"
126,2019-10-19,"RT @KKSDY: #BSNL is only Company who serve Nation,Never thought profits-loss, Time to turn rejoin #BSNL, &amp; #BoycottJio, Due to #Jio around…"
127,2019-10-19,"In Reality it is charging #6paise even if u talk for 5 secs also. By this @reliancejio want to recover the entire free services which it had provided earlier.
Also nowadays the data speeds of both #Jio telecom &amp; #JioFiber have reduced drastically.
@jagograhakjago 
#BoycottJio"
128,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
129,2019-10-19,@Himansh72125945 @reliancejio You should consider yourself lucky that they're sending my quotes to you. Thanks #jio
130,2019-10-19,"Jio deplores Trai for IUC review, says move to help incumbents https://t.co/xfeVwRHCy0 #jio"
131,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
132,2019-10-19,"Should @JioCare @reliancejio continue to render such abysmal service, customers would be constrained to terminate the service. Are you guys sleeping? Wake up! Fix my issue NOW NOW NOW! #Jio #JioGigaFiber #JioCare https://t.co/BZG4q4M0C2"
133,2019-10-19,"Jio services have become awfully poor. If this happens within 3 years of operation, wonder how long it will take to become another RCom.

No wonder many are again going back to their old SPs.
#jio  #jiousers"
134,2019-10-19,@imvaishalisingh #Jio most wanted customer
135,2019-10-19,@JioCare Do something for this...#jio https://t.co/UlYx1sLvpY
136,2019-10-19,"RT @sabr_azad: Of course !

 #Jio was not checked for its predatory pricing .

In its wake small players were destroyed . Most have closed…"
137,2019-10-19,"RT @Sanju_Verma_: #RILresults,phenomenal with #GRMs@ $9.4/bbl;net profit up 11.5% QoQ@ 11262Cr, on revenue of Rs 1.48 lakh Cr

EBITDA up 3.…"
138,2019-10-19,#jiousers worst network day by day murah sir please contact customer to customer care number #jio is worst day by by day
139,2019-10-19,Jio jio seriously ....ur ppl r talking about high speed broadband...kone kone main netwrk ...bullshit #jio @JioCare @reliancejio pathetic
140,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
141,2019-10-19,"#Jio you have created too many philosophers and activitics in India, that some people those were not able to recharge 3G are giving Gyan on social media."
142,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
143,2019-10-19,"Even I'm fed up with @reliancejio

They are sending #GANDHI quotes to me

Did #Jio take its customers permission to slap these messages on them?

If #Jio wants to send something, send some #Godse quotes https://t.co/bWIdouehvK"
144,2019-10-19,"RT @Rony_iamIndian: @JioCare @DoT_India @PYadav440 Never resolved, i had many times complaint about internet speed but never solved by jio.…"
145,2019-10-19,"#Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to give.
But I receive call from other operator ,you are getting 6p/min.
Why you are not giving that money to me."
146,2019-10-19,#jio bad network
147,2019-10-19,@JioCare How much more time do you need?? Its more than a week #JIO is unable to resolve this issue.
148,2019-10-19,"Good going @VodafoneIN now snatching subscribers.. first get your service right then ask.

@reliancejio @JioCare is this legal?

@TRAI #vodafone #jio #JioOnIUC https://t.co/PbazMxHt2x"
149,2019-10-19,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
150,2019-10-19,"#Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to give.
But I receive call from other operator ,you are getting 6p/min.
Why you are not giving that money to me."
151,2019-10-19,Badi fauj free data leke madmast hai. If anyone making money is #Jio which is posting profit quarter after quarter https://t.co/rVizKFTawS
152,2019-10-19,"RT @The_Nishit: What the hell is this going on ??
Done a recharge through @reliancejio app.
Money got deducted from bank a/c. Bank ( @Phone…"
153,2019-10-19,"What the hell is this going on ??
Done a recharge through @reliancejio app.
Money got deducted from bank a/c. Bank ( @PhonePe_ ) saying transaction was successful and provided unique transaction no. @JioCare is not responding.
This is loot.
#JIO"
154,2019-10-19,"#Jio 
Numbers are going to be reduced in next quarter.. https://t.co/UQDNqRkZhL"
155,2019-10-19,@snandininl #Jio having terrible service these days. Technically they are far behind BSNL. Only their oversmart marketing &amp; ops strategies create buzz. Plz stop using it. #PMOIndia @rsprasad @reliancejio @RelianceMobile @reliancegroup @RelianceDigital @irvpaswan @JioCare
156,2019-10-19,"RT @3nions: Jio deplores Trai for IUC review, says the move to help incumbents https://t.co/vV0du0xUez via @3nions #jio #iuc #trai"
157,2019-10-19,"@narendramodi killed #BSNL by personally endorsing crony capitalists. He also helped his best friend's company #Jio jeopardize all other telecom competitors.
In another 3 years time. #India will lose all its #PSU #PSUs under this man's leadership. Congratulations, India."
158,2019-10-19,#horrible #pathetic #network of #jio @reliancejio @JioCare. Most of the time my phone shows NO SERVICE. Customer care staff unable to help providing lame excuses.
159,2019-10-19,RT @bejnarendra: @Airtel @VittalGopal @airtelindia @airtelb #jio  @reliancejio thank god i have a another slot on my phone with jio. This i…
160,2019-10-19,@Airtel_Presence Thanks ..will definitely port...#jio is a company that never understand customer problem and customers money goes in vain...hope u will not do that
161,2019-10-19,@bluebur09 @MrShaan_ I am a graduate with a happy life and job and loving gf😂😂 but how can a jobless piss drinking virgin like u will understand it ur just jealous and sad that all this hate got u nothing btw who pays for ur #Jio  recharge ur dad or on of ur virgin masters after u give thm a bj
162,2019-10-19,"RT @sabr_azad: Of course !

 #Jio was not checked for its predatory pricing .

In its wake small players were destroyed . Most have closed…"
163,2019-10-19,@JioCare I wonder how many more days do I have to keep “patience”. It’s the 9th day today there is NO SERVICE on my #JIO number. #TRAI #jiousers
164,2019-10-19,"@bainjal The people who went hand in hand with #Jio to promote predatory pricing is now complaining of predatory pricing...

Is this a joke?"
165,2019-10-19,"“There  is  no  greater  fraud  than  a  promise  not  kept.” -Gaelic  Proverb
#Jio #RelianceJio"
166,2019-10-19,"RT @Sanju_Verma_: #RILresults,phenomenal with #GRMs@ $9.4/bbl;net profit up 11.5% QoQ@ 11262Cr, on revenue of Rs 1.48 lakh Cr

EBITDA up 3.…"
167,2019-10-19,"#jio data per user per month, which has increased from 11.4GB in Q1 FY20, to 11.7GB this quarter. However, voice traffic on the network has seen a decline, falling to 789 minutes per user per month from the 821 minutes reported in Q1FY20."
168,2019-10-19,"#Jio #JioFiber @JioCare
Still awaiting service engineer for resolving internet problem nor heard any communication from your end. Plz do the needful."
169,2019-10-19,@JioCare What the fuck is #jio doing? They don't even have a proper plan for postpaid customers? And stupid executives like Delna call and harass.  Is this how #MukeshAmbani making money?
170,2019-10-19,"#Nowadays #jioGetting #jiousersBad #Quality Internet Guys Look at this below 
#jiousers
#jiodigitallife #jio https://t.co/wFT0QhkDLa"
171,2019-10-19,"Jio deplores Trai for IUC review, says the move to help incumbents https://t.co/vV0du0xUez via @3nions #jio #iuc #trai"
172,2019-10-19,"RT @TenzinTsundue: Burning Chinese products may be a symbolic act of protest against China, but we must channelize this thought to a  more…"
173,2019-10-19,"RT @KKSDY: #BSNL is only Company who serve Nation,Never thought profits-loss, Time to turn rejoin #BSNL, &amp; #BoycottJio, Due to #Jio around…"
174,2019-10-19,Reliance Jio effect by Airtel  https://t.co/pb3ZW556aM #GuestPost #Blogger #Reliance #Jio #effect #by #Airtel #new #prepaid #plans
175,2019-10-19,"RT @KKSDY: #BSNL is only Company who serve Nation,Never thought profits-loss, Time to turn rejoin #BSNL, &amp; #BoycottJio, Due to #Jio around…"
176,2019-10-19,@airtelindia Ghanta sahi chuno. Mere area me Airtel ka tower exilent pe hai. Fir bhi 2g se bhi bekar chlta h.. #abtosahichuno #jio is the fastest without towers
